iter	MultiClass
0	1.034085001
1	0.9716700005
2	0.9217825196
3	0.8837990497
4	0.8429214777
5	0.8085065387
6	0.7760817687
7	0.7519276089
8	0.7275748583
9	0.707299399
10	0.6869121952
11	0.6674461428
12	0.6517158102
13	0.6372325493
14	0.6246738909
15	0.612277928
16	0.5977285166
17	0.5885771639
18	0.5770723191
19	0.5694563673
20	0.5620466917
21	0.5534336253
22	0.5450602279
23	0.5361673821
24	0.5306214904
25	0.5232830765
26	0.5158974917
27	0.5077574077
28	0.5028828733
29	0.4965935631
30	0.4930673369
31	0.4884367391
32	0.4829811737
33	0.4767076148
34	0.4713809571
35	0.4662942244
36	0.4618920315
37	0.4570622621
38	0.4531220948
39	0.4489695379
40	0.444259426
41	0.4396163182
42	0.4359859712
43	0.4335823621
44	0.4304254883
45	0.42732562
46	0.4241749754
47	0.4207537156
48	0.4167668243
49	0.4141079972
50	0.4103834587
51	0.4090052067
52	0.406155708
53	0.4030575172
54	0.4002527019
55	0.3972433911
56	0.3934804917
57	0.3900834466
58	0.3874919667
59	0.384932699
60	0.3825499691
61	0.3798324446
62	0.3775715911
63	0.3749064081
64	0.3717008954
65	0.3689192117
66	0.3667046913
67	0.3645936338
68	0.3617659582
69	0.3588292412
70	0.3560379214
71	0.3538059646
72	0.3516794325
73	0.3490790044
74	0.3467361404
75	0.3433221535
76	0.3401656675
77	0.3379469991
78	0.3359905221
79	0.333984376
80	0.3319154072
81	0.329354487
82	0.3272552854
83	0.3254414632
84	0.3226529319
85	0.3194041607
86	0.3183416644
87	0.316084705
88	0.3140621772
89	0.3119065212
90	0.3100270328
91	0.3078149626
92	0.3062314731
93	0.3039352875
94	0.3017035478
95	0.2998180766
96	0.2974682808
97	0.2960876305
98	0.2942260766
99	0.2925226229
