iter	Passed	Remaining
0	8	834
1	17	879
2	28	915
3	36	864
4	45	866
5	52	818
6	60	804
7	68	786
8	75	763
9	83	755
10	91	740
11	98	723
12	107	719
13	114	705
14	121	689
15	129	680
16	136	667
17	142	650
18	148	633
19	154	619
20	160	604
21	166	590
22	173	580
23	178	566
24	185	556
25	191	545
26	197	533
27	205	528
28	213	523
29	222	519
30	230	512
31	237	503
32	242	493
33	250	485
34	255	475
35	263	467
36	268	457
37	275	449
38	281	440
39	289	434
40	297	427
41	305	421
42	311	413
43	317	404
44	327	400
45	335	393
46	342	386
47	351	380
48	357	372
49	363	363
50	370	355
51	380	351
52	386	342
53	393	334
54	398	326
55	406	319
56	413	312
57	421	305
58	434	301
59	444	296
60	450	288
61	460	282
62	468	275
63	475	267
64	485	261
65	493	254
66	500	246
67	512	241
68	520	233
69	529	226
70	538	219
71	546	212
72	553	204
73	561	197
74	569	189
75	576	182
76	584	174
77	592	167
78	600	159
79	607	151
80	614	144
81	623	136
82	632	129
83	639	121
84	648	114
85	654	106
86	663	99
87	671	91
88	679	84
89	688	76
90	697	68
91	704	61
92	713	53
93	721	46
94	728	38
95	735	30
96	742	22
97	750	15
98	757	7
99	766	0
